а	а		prn	I
ад	ад		num	eight
аж	аж		a	noble
аж	ажар		n	nobleman, gentry, aristocracy, nobility
аж	ажи		n	nobleness, nobility
бај	бай	ба-	v	build
бај	бата		n	builder
бај	бая		n	consctuction, building (activity)
бај	вацабая		n	word formation
бај	убай		v	instruct, train
бај	убата		n	instructor, trainer
бај	убая		n	training, instruction
бај	харбай	харба-	v	destroy
бај	харбант		a	destructive
бал	бал		n	fruit
баца	ваца		n	word
баца	вацар		n	dictionary
баца	намваца		n	noun
важи	важи	ва-	v	suffer
важи	вая		n	suffering
вата	ватни		a	windy
ватв	вата		n	wind
вета	вета		n	law, rule
воллай	вoллай	вoлл-	v	speak
гажи	гажи	га-	v	eat
гажи	гая		n	food, meal
газак	газак		n	window
кам	кам		n	work
кам	камо	кам-	v	work
кам	камта		n	worker
кам	сакамо		v	collaborate
кам	сакамта		n	collaborator
кар	кар		n	home
най	най		prn	we
най	наш		prn	our
нам	нам		n	name
нам	намо		v	name, call
наха	наха		n	snake
нац	нац		а	short
рачи	рачи		n	night
реца	реца		n	sand
хаџ	хаџ		n	elephant
џанжи	наџант		а	ignorant
џанжи	наџаня		n	ignorance
џанжи	џанжи	џан-	v	know
ято	вято	вят-	v	test